"orgEic";"injectionUnit_id";"injectionUnit_name";"injectionUnit_eic"
"40X0000000054704";3204640;"AREL ENR. MARMARÝS BÝYOKÜTLE TESÝSÝ";"40W000003204640N"
"40X0000000054704";3204639;"AREL ENR. MENTEÞE BÝYOKÜTLE TESÝSÝ";"40W0000032046398"
"40X0000000054704";3204638;"AREL ENR.FETHÝYE BÝYOKÜTLE TESÝSÝ";"40W000003204638A"
"40X0000000054704";291608;"Arel Çevre Yatýrýmlarý Enerji Ve Elektrik Üretimi LTD. ÞTÝ.";"40W0000002916084"
"40X0000000054704";101697;"Arel çevre yatýrýmlarý enerji ve elektrik üretim limited þirketi";"40W0000001016973"
"40X000000005449W";100431;"YAVUZ HES(AREM ENR.)";"40W0000001004319"
"40X0000000001542";1032;"ARENKO DENÝZLÝ SANTRALI";"40W000000001032P"
"40X000000011767W";3204629;"ARF ÖDEMÝÞ BÝOGAZ ÜRT.TESÝSÝ";"40W000003204629B"
"40X000000011716C";3204449;"KAVAK REG. ve HES (ARHAVÝ  ÜRT.)";"40W000003204449D"
"40X0000000117560";3204619;"GAZÝ RES(ARI EN)";"40W000003204619E"
"40X0000000117560";3204591;"Gazi";"40W000003204591A"
"40X0000000117560";3204620;"SAKARBAYIR RES(ARI EN)";"40W000003204620T"
"40X0000000117560";3204592;"Sakarbayýr";"40W0000032045928"
"40X000000006961H";723719;"AKBAÞ HES";"40W000000723719T"
"40X0000000048305";87183;"GÜNDER HES";"40W0000000871830"
"40X000000009610V";3195224;"ARIKAN ÜRETÝM TESÝSÝ(KOJEN)";"40W000003195224M"
"40X000000004792O";60634;"MURATLI REG. VE HES(ARMAHES ELK.)";"40W0000000606343"
"40X000000007179P";806192;"UÞAK RES";"40W000000806192X"
"40X000000009348I";3194126;"YALOVA RES(AROVA )";"40W000003194126R"
"40X000000008762D";3194132;"Arpacýk Reg. ve HES";"40W000003194132W"
"40X0000000063193";296821;"ARSAN DOKUMA  KOJEN";"40W000000296821G"
"40X000000004469V";3204637;"BAYRA HES";"40W000003204637C"
"40X000000004469V";61529;"KIRAN HES";"40W000000061529W"
"40X000000004469V";106557;"Kayaköprü";"40W000000106557V"
